id,updated,rating,version,author,title,content,vote_count
13380705760,2025-11-10T06:06:54-07:00,1,20.45.3,SwaggyZ_,Deleting Palestine videos?,Hope YouTube executives end up on trial,0
13380701739,2025-11-10T06:05:47-07:00,1,20.45.3,lfbslapbnwmofnn,Advertisments,"Requiring an ID, credit card, or scan of one’s face to be able to watch certain videos is absurd.",0
13380676269,2025-11-10T05:58:46-07:00,1,20.45.3,234arbiter,app crashes,the app crashes everytime I try to search for something on my ipad,0
13380638401,2025-11-10T05:48:09-07:00,2,20.45.3,jy_baller40,Buffering,I am experiencing buffering on just about all videos regardless of my location,0
13380602176,2025-11-10T05:38:03-07:00,3,20.45.3,Should give more stars but…,3 stars,Entirely tooooooo many crashes.,0
13380567992,2025-11-10T05:28:30-07:00,5,20.45.3,Rocky atarralla,Best,You two are the best thing that happened in life,0
13380480651,2025-11-10T05:03:50-07:00,1,20.11.6,ulanallahbelanızıversin,Desteklemiyor,iPhone 7 Plus kullanıyorum ve desteklemiyor.,0
13380361464,2025-11-10T04:28:50-07:00,4,20.45.3,swiftbee84,Randomly pauses,"Some reason sometimes when I'm watching a short it just pauses and won't unpause, I have to fast forward.",0
13380290506,2025-11-10T04:07:18-07:00,1,20.45.3,ArrowPupsMa,Updated iPad to 26.1 and YT videos No Longer Have Sound,"What the title says and my old review still applies…


YT is useful, but lately it’s infuriating to use. The search results show me a few relevant search results and more influencer pushed videos that are unrelated and unwanted. The cast function is also TRASH.",0
13380282954,2025-11-10T04:04:57-07:00,3,20.45.3,BayouRebel01,Suppression,Sadly they limit and restrict certain folks like myself but it is great to watch,0
13380264304,2025-11-10T03:59:07-07:00,1,20.45.3,putt oop's,YouTube survey,No problem,0
13380259625,2025-11-10T03:57:39-07:00,1,20.45.3,Bambam94*,Force quitting,App is force quitting / resetting after 30 seconds of playback,0
13380249021,2025-11-10T03:54:19-07:00,5,20.45.3,حيدر احمد محمد جبر الطائي,افضل برامج انا ستخدمته بحياتي,وانصح انا اي واحد يجربه,0
13380131885,2025-11-10T03:15:09-07:00,5,20.45.3,John Lee 3D,Stable secondary YouTube option,Pleasant app that’s very stable.  And they’re testing new features like small corner screen so you could have videos playing in the background while using other apps on your phone. It adds even more value to my YouTube Premium subscription!,0
13380085059,2025-11-10T02:58:48-07:00,3,20.45.3,omarrrrrrrrrrrrrrrrr,You tube videos,Too much adds,0
13379955700,2025-11-10T02:10:38-07:00,3,20.45.3,tausif2254,Ai Voice dubbing is Ear sore,"AI voice dubbing lipsing isn't good also ear sore,
The tone is really bad",0
